"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"238","Oakland",0.509781979430462,2022-07-04,"downtown","Pacific","medium","Oakland, CA"
"239","Oklahoma City",1.7300972975915,2022-07-04,"downtown","Southwest","medium","Oklahoma City, OK"
"240","Omaha",0.885982019555071,2022-07-04,"downtown","Midwest","medium","Omaha, NE"
"241","Orlando",1.76567459070828,2022-07-04,"downtown","Southeast","medium","Orlando, FL"
"242","Ottawa",0.427424429130786,2022-07-04,"downtown","Canada","large","Ottawa, ON"
"243","Philadelphia",0.42707425836362,2022-07-04,"downtown","Northeast","large","Philadelphia, PA"
"244","Phoenix",0.80107279280977,2022-07-04,"downtown","Southwest","large","Phoenix, AZ"
"245","Pittsburgh",0.422185277157903,2022-07-04,"downtown","Northeast","medium","Pittsburgh, PA"
"246","Portland",0.20096642905956,2022-07-04,"downtown","Pacific","medium","Portland, OR"
"247","Quebec",0.736680406769266,2022-07-04,"downtown","Canada","medium","Quebec, QC"
"248","Raleigh",0.546272883562704,2022-07-04,"downtown","Southeast","medium","Raleigh, NC"
"249","Sacramento",0.763349962332181,2022-07-04,"downtown","Pacific","medium","Sacramento, CA"
"250","Salt Lake City",1.15772076288587,2022-07-04,"downtown","Southwest","medium","Salt Lake City, UT"
"251","San Antonio",0.480161201335739,2022-07-04,"downtown","Southwest","large","San Antonio, TX"
"252","San Diego",0.981113948591763,2022-07-04,"downtown","Pacific","large","San Diego, CA"
"253","San Francisco",0.36767698893688,2022-07-04,"downtown","Pacific","large","San Francisco, CA"
"254","San Jose",0.75037430234683,2022-07-04,"downtown","Pacific","large","San Jose, CA"
"255","Seattle",0.444342160505015,2022-07-04,"downtown","Pacific","large","Seattle, WA"
"256","St Louis",0.515907576598312,2022-07-04,"downtown","Midwest","medium","St. Louis, MO"
"257","Tampa",0.63185580162272,2022-07-04,"downtown","Southeast","medium","Tampa, FL"
"258","Toronto",0.425941514616944,2022-07-04,"downtown","Canada","large","Toronto, ON"
"259","Tucson",1.00597080329297,2022-07-04,"downtown","Southwest","medium","Tucson, AZ"
"260","Tulsa",0.762793611009231,2022-07-04,"downtown","Southwest","medium","Tulsa, OK"
"261","Vancouver",0.470760424953636,2022-07-04,"downtown","Canada","medium","Vancouver, BC"
"262","Washington DC",0.709361555276258,2022-07-04,"downtown","Northeast","large","Washington DC"
"263","Wichita",1.01680904322739,2022-07-04,"downtown","Midwest","medium","Wichita, KS"
"264","Winnipeg",0.419900158559198,2022-07-04,"downtown","Canada","large","Winnipeg, MB"
"265","Albuquerque",0.819267735007051,2022-07-11,"downtown","Southwest","medium","Albuquerque, NM"
"266","Atlanta",0.403993566998497,2022-07-11,"downtown","Southeast","medium","Atlanta, GA"
"267","Austin",0.558245147178878,2022-07-11,"downtown","Southwest","large","Austin, TX"
"268","Bakersfield",1.18128855855151,2022-07-11,"downtown","Pacific","medium","Bakersfield, CA"
"269","Baltimore",0.821529999791583,2022-07-11,"downtown","Northeast","medium","Baltimore, MD"
"270","Boston",0.54444222413377,2022-07-11,"downtown","Northeast","medium","Boston, MA"
"271","Calgary",0.668510877406006,2022-07-11,"downtown","Canada","large","Calgary, AB"
"272","Charlotte",0.777993260753557,2022-07-11,"downtown","Southeast","large","Charlotte, NC"
"273","Chicago",0.437024989693473,2022-07-11,"downtown","Midwest","large","Chicago, IL"
