"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"179","Kansas City, MO",0.613636363636364,"Midwest","downtown","Kansas City","Season_6",29,"#007fa3"
"180","Kansas City, MO",0.537656527160347,"Midwest","downtown","Kansas City","Season_10",36,"#007fa3"
"181","Kansas City, MO",0.53083686572433,"Midwest","downtown","Kansas City","Season_9",37,"#007fa3"
"182","Kansas City, MO",0.484615384615385,"Midwest","downtown","Kansas City","Season_3",36,"#007fa3"
"183","Kansas City, MO",0.481666666666667,"Midwest","downtown","Kansas City","Season_5",35,"#007fa3"
"184","Kansas City, MO",0.471113174529716,"Midwest","downtown","Kansas City","Season_8",43,"#007fa3"
"185","Kansas City, MO",0.469831165756836,"Midwest","downtown","Kansas City","Season_11",53,"#007fa3"
"186","Kansas City, MO",0.45,"Midwest","downtown","Kansas City","Season_7",51,"#007fa3"
"187","Kansas City, MO",0.391666666666667,"Midwest","downtown","Kansas City","Season_4",47,"#007fa3"
"188","Louisville, KY",0.625416666666667,"Midwest","downtown","Louisville","Season_1",9,"#007fa3"
"189","Louisville, KY",0.506926300421839,"Midwest","downtown","Louisville","Season_8",37,"#007fa3"
"190","Louisville, KY",0.497692307692308,"Midwest","downtown","Louisville","Season_6",38,"#007fa3"
"191","Louisville, KY",0.491111111111111,"Midwest","downtown","Louisville","Season_4",31,"#007fa3"
"192","Louisville, KY",0.472071443979709,"Midwest","downtown","Louisville","Season_9",48,"#007fa3"
"193","Louisville, KY",0.4425,"Midwest","downtown","Louisville","Season_5",42,"#007fa3"
"194","Louisville, KY",0.4025,"Midwest","downtown","Louisville","Season_7",60,"#007fa3"
"195","Louisville, KY",0.399041828210693,"Midwest","downtown","Louisville","Season_10",58,"#007fa3"
"196","Louisville, KY",0.385469478648006,"Midwest","downtown","Louisville","Season_11",58,"#007fa3"
"197","Louisville, KY",0.375,"Midwest","downtown","Louisville","Season_3",53,"#007fa3"
"198","Louisville, KY",0.368,"Midwest","downtown","Louisville","Season_2",43,"#007fa3"
"199","Milwaukee, WI",0.767142857142857,"Midwest","downtown","Milwaukee","Season_7",16,"#007fa3"
"200","Milwaukee, WI",0.756010638456642,"Midwest","downtown","Milwaukee","Season_9",16,"#007fa3"
"201","Milwaukee, WI",0.750274269492125,"Midwest","downtown","Milwaukee","Season_8",12,"#007fa3"
"202","Milwaukee, WI",0.743846153846154,"Midwest","downtown","Milwaukee","Season_3",9,"#007fa3"
"203","Milwaukee, WI",0.707325946685995,"Midwest","downtown","Milwaukee","Season_11",22,"#007fa3"
"204","Milwaukee, WI",0.671111111111111,"Midwest","downtown","Milwaukee","Season_4",12,"#007fa3"
"205","Milwaukee, WI",0.664444444444444,"Midwest","downtown","Milwaukee","Season_5",15,"#007fa3"
"206","Milwaukee, WI",0.660690133983221,"Midwest","downtown","Milwaukee","Season_10",26,"#007fa3"
"207","Milwaukee, WI",0.620909090909091,"Midwest","downtown","Milwaukee","Season_6",27,"#007fa3"
"208","Milwaukee, WI",0.565454545454545,"Midwest","downtown","Milwaukee","Season_1",18,"#007fa3"
"209","Milwaukee, WI",0.500833333333333,"Midwest","downtown","Milwaukee","Season_2",27,"#007fa3"
"210","Minneapolis, MN",0.509049284279303,"Midwest","downtown","Minneapolis","Season_11",46,"#007fa3"
"211","Minneapolis, MN",0.458461538461538,"Midwest","downtown","Minneapolis","Season_7",50,"#007fa3"
"212","Minneapolis, MN",0.441119951489089,"Midwest","downtown","Minneapolis","Season_9",54,"#007fa3"
"213","Minneapolis, MN",0.424264526816172,"Midwest","downtown","Minneapolis","Season_10",54,"#007fa3"
"214","Minneapolis, MN",0.4195,"Midwest","downtown","Minneapolis","Season_1",41,"#007fa3"
"215","Minneapolis, MN",0.417508183531787,"Midwest","downtown","Minneapolis","Season_8",57,"#007fa3"
"216","Minneapolis, MN",0.379,"Midwest","downtown","Minneapolis","Season_6",57,"#007fa3"
"217","Minneapolis, MN",0.353181818181818,"Midwest","downtown","Minneapolis","Season_3",55,"#007fa3"
"218","Minneapolis, MN",0.335714285714286,"Midwest","downtown","Minneapolis","Season_4",54,"#007fa3"
"219","Minneapolis, MN",0.329,"Midwest","downtown","Minneapolis","Season_2",49,"#007fa3"
"220","Minneapolis, MN",0.283333333333333,"Midwest","downtown","Minneapolis","Season_5",60,"#007fa3"
"221","Omaha, NE",0.951440724668015,"Midwest","downtown","Omaha","Season_11",6,"#007fa3"
"222","Omaha, NE",0.919112002038487,"Midwest","downtown","Omaha","Season_9",5,"#007fa3"
"223","Omaha, NE",0.814838750247766,"Midwest","downtown","Omaha","Season_10",8,"#007fa3"
"224","Omaha, NE",0.796153846153846,"Midwest","downtown","Omaha","Season_7",11,"#007fa3"
"225","Omaha, NE",0.781,"Midwest","downtown","Omaha","Season_6",10,"#007fa3"
"226","Omaha, NE",0.74,"Midwest","downtown","Omaha","Season_3",10,"#007fa3"
"227","Omaha, NE",0.733333333333333,"Midwest","downtown","Omaha","Season_5",8,"#007fa3"
"228","Omaha, NE",0.729657598489,"Midwest","downtown","Omaha","Season_8",14,"#007fa3"
"229","Omaha, NE",0.669090909090909,"Midwest","downtown","Omaha","Season_4",13,"#007fa3"
"230","Omaha, NE",0.595,"Midwest","downtown","Omaha","Season_1",14,"#007fa3"
"231","Omaha, NE",0.510909090909091,"Midwest","downtown","Omaha","Season_2",22,"#007fa3"
"232","St. Louis, MO",0.56583850795966,"Midwest","downtown","St Louis","Season_11",38,"#007fa3"
"233","St. Louis, MO",0.543846153846154,"Midwest","downtown","St Louis","Season_5",27,"#007fa3"
"234","St. Louis, MO",0.531666666666667,"Midwest","downtown","St Louis","Season_7",42,"#007fa3"
"235","St. Louis, MO",0.501455592255398,"Midwest","downtown","St Louis","Season_9",44,"#007fa3"
"236","St. Louis, MO",0.489166666666667,"Midwest","downtown","St Louis","Season_6",39,"#007fa3"
"237","St. Louis, MO",0.466399778082005,"Midwest","downtown","St Louis","Season_8",45,"#007fa3"
"238","St. Louis, MO",0.442727272727273,"Midwest","downtown","St Louis","Season_4",37,"#007fa3"
"239","St. Louis, MO",0.432111967868853,"Midwest","downtown","St Louis","Season_10",52,"#007fa3"
"240","St. Louis, MO",0.338888888888889,"Midwest","downtown","St Louis","Season_3",57,"#007fa3"
"241","St. Louis, MO",0.328181818181818,"Midwest","downtown","St Louis","Season_2",50,"#007fa3"
"242","St. Louis, MO",0.317,"Midwest","downtown","St Louis","Season_1",57,"#007fa3"
"243","Wichita, KS",0.845503301560035,"Midwest","downtown","Wichita","Season_10",7,"#007fa3"
"244","Wichita, KS",0.829852601613364,"Midwest","downtown","Wichita","Season_11",11,"#007fa3"
"245","Wichita, KS",0.829788571612427,"Midwest","downtown","Wichita","Season_9",11,"#007fa3"
"246","Wichita, KS",0.795454545454545,"Midwest","downtown","Wichita","Season_6",9,"#007fa3"
"247","Wichita, KS",0.791666666666667,"Midwest","downtown","Wichita","Season_7",12,"#007fa3"
"248","Wichita, KS",0.784444444444444,"Midwest","downtown","Wichita","Season_5",7,"#007fa3"
"249","Wichita, KS",0.723426222957792,"Midwest","downtown","Wichita","Season_8",16,"#007fa3"
"250","Wichita, KS",0.690833333333333,"Midwest","downtown","Wichita","Season_3",15,"#007fa3"
"251","Wichita, KS",0.675,"Midwest","downtown","Wichita","Season_4",11,"#007fa3"
"252","Wichita, KS",0.653,"Midwest","downtown","Wichita","Season_2",8,"#007fa3"
"253","Wichita, KS",0.61,"Midwest","downtown","Wichita","Season_1",10,"#007fa3"
"254","Baltimore, MD",0.946719728265062,"Northeast","downtown","Baltimore","Season_11",7,"#8dbf2e"
"255","Baltimore, MD",0.913880878509941,"Northeast","downtown","Baltimore","Season_9",6,"#8dbf2e"
"256","Baltimore, MD",0.865454545454545,"Northeast","downtown","Baltimore","Season_7",7,"#8dbf2e"
"257","Baltimore, MD",0.845278217455864,"Northeast","downtown","Baltimore","Season_8",6,"#8dbf2e"
"258","Baltimore, MD",0.800928777211981,"Northeast","downtown","Baltimore","Season_10",10,"#8dbf2e"
"259","Baltimore, MD",0.759166666666667,"Northeast","downtown","Baltimore","Season_3",8,"#8dbf2e"
"260","Baltimore, MD",0.699090909090909,"Northeast","downtown","Baltimore","Season_6",18,"#8dbf2e"
"261","Baltimore, MD",0.662,"Northeast","downtown","Baltimore","Season_5",16,"#8dbf2e"
"262","Baltimore, MD",0.632222222222222,"Northeast","downtown","Baltimore","Season_4",16,"#8dbf2e"
"263","Baltimore, MD",0.586363636363636,"Northeast","downtown","Baltimore","Season_2",12,"#8dbf2e"
"264","Baltimore, MD",0.572083333333333,"Northeast","downtown","Baltimore","Season_1",16,"#8dbf2e"
"265","Boston, MA",0.6,"Northeast","downtown","Boston","Season_6",30,"#8dbf2e"
