"","X","week","metric","display_title","rolling_avg","city","region","color"
"163",2148,2020-04-20,"downtown","San Jose, CA",0.343636363636364,"San Jose","Pacific","#6d247a"
"164",2156,2020-04-20,"downtown","Seattle, WA",0.388181818181818,"Seattle","Pacific","#6d247a"
"165",2174,2020-04-20,"downtown","Atlanta, GA",0.249090909090909,"Atlanta","Southeast","#dc4633"
"166",2154,2020-04-20,"downtown","Charlotte, NC",0.383636363636364,"Charlotte","Southeast","#dc4633"
"167",2150,2020-04-20,"downtown","Jacksonville, FL",0.482727272727273,"Jacksonville","Southeast","#dc4633"
"168",2125,2020-04-20,"downtown","Memphis, TN",0.433181818181818,"Memphis","Southeast","#dc4633"
"169",2178,2020-04-20,"downtown","Miami, FL",0.460454545454545,"Miami","Southeast","#dc4633"
"170",2159,2020-04-20,"downtown","Nashville, TN",0.173636363636364,"Nashville","Southeast","#dc4633"
"171",2145,2020-04-20,"downtown","New Orleans, LA",0.173636363636364,"New Orleans","Southeast","#dc4633"
"172",2177,2020-04-20,"downtown","Raleigh, NC",0.257272727272727,"Raleigh","Southeast","#dc4633"
"173",2144,2020-04-20,"downtown","Tampa, FL",0.496818181818182,"Tampa","Southeast","#dc4633"
"174",2129,2020-04-20,"downtown","Albuquerque, NM",0.610909090909091,"Albuquerque","Southwest","#e6ab02"
"175",2149,2020-04-20,"downtown","Austin, TX",0.253181818181818,"Austin","Southwest","#e6ab02"
"176",2176,2020-04-20,"downtown","Colorado Springs, CO",0.527272727272727,"Colorado Springs","Southwest","#e6ab02"
"177",2157,2020-04-20,"downtown","Denver, CO",0.287727272727273,"Denver","Southwest","#e6ab02"
"178",2161,2020-04-20,"downtown","El Paso, TX",0.61,"El Paso","Southwest","#e6ab02"
"179",2151,2020-04-20,"downtown","Fort Worth, TX",0.425454545454545,"Fort Worth","Southwest","#e6ab02"
"180",2134,2020-04-20,"downtown","Houston, TX",0.320454545454545,"Houston","Southwest","#e6ab02"
"181",2123,2020-04-20,"downtown","Las Vegas, NV",0.446818181818182,"Las Vegas","Southwest","#e6ab02"
"182",2135,2020-04-20,"downtown","Phoenix, AZ",0.599545454545454,"Phoenix","Southwest","#e6ab02"
