,city,week,metric,normalized_visits_by_total_visits
366,Atlanta,2020-03-09,downtown,0.7
367,Atlanta,2020-03-09,metro,0.84
368,Atlanta,2020-03-09,relative,0.83
369,Atlanta,2020-03-16,downtown,0.32
370,Atlanta,2020-03-16,metro,0.69
371,Atlanta,2020-03-16,relative,0.47
372,Atlanta,2020-03-23,downtown,0.27
373,Atlanta,2020-03-23,metro,0.595
374,Atlanta,2020-03-23,relative,0.4499999999999999
375,Atlanta,2020-03-30,downtown,0.22
376,Atlanta,2020-03-30,metro,0.5
377,Atlanta,2020-03-30,relative,0.43
378,Atlanta,2020-04-06,downtown,0.16
379,Atlanta,2020-04-06,metro,0.42
380,Atlanta,2020-04-06,relative,0.37
381,Atlanta,2020-04-13,downtown,0.19
382,Atlanta,2020-04-13,metro,0.47
383,Atlanta,2020-04-13,relative,0.4
384,Atlanta,2020-04-20,downtown,0.22
385,Atlanta,2020-04-20,metro,0.51
386,Atlanta,2020-04-20,relative,0.44
387,Atlanta,2020-04-27,downtown,0.26
388,Atlanta,2020-04-27,metro,0.44
389,Atlanta,2020-04-27,relative,0.6
390,Atlanta,2020-05-04,downtown,0.26
391,Atlanta,2020-05-04,metro,0.5
392,Atlanta,2020-05-04,relative,0.52
393,Atlanta,2020-05-11,downtown,0.26
394,Atlanta,2020-05-11,metro,0.53
395,Atlanta,2020-05-11,relative,0.49
396,Atlanta,2020-05-18,downtown,0.28
397,Atlanta,2020-05-18,metro,0.53
398,Atlanta,2020-05-18,relative,0.52
399,Atlanta,2020-05-25,downtown,0.3
400,Atlanta,2020-05-25,metro,0.71
401,Atlanta,2020-05-25,relative,0.42
402,Atlanta,2020-06-01,downtown,0.43
403,Atlanta,2020-06-01,relative,0.62
404,Atlanta,2020-06-01,metro,0.69
405,Atlanta,2020-06-08,downtown,0.32
406,Atlanta,2020-06-08,relative,0.47
407,Atlanta,2020-06-08,metro,0.67
408,Atlanta,2020-06-15,downtown,0.28
409,Atlanta,2020-06-15,relative,0.54
410,Atlanta,2020-06-15,metro,0.53
411,Atlanta,2020-06-22,downtown,0.29
412,Atlanta,2020-06-22,relative,0.49
413,Atlanta,2020-06-22,metro,0.59
414,Atlanta,2020-06-29,downtown,0.29
415,Atlanta,2020-06-29,relative,0.48
416,Atlanta,2020-06-29,metro,0.6
417,Atlanta,2020-07-06,downtown,0.3
418,Atlanta,2020-07-06,relative,0.51
419,Atlanta,2020-07-06,metro,0.59
420,Atlanta,2020-07-13,downtown,0.22
421,Atlanta,2020-07-13,relative,0.36
422,Atlanta,2020-07-13,metro,0.61
423,Atlanta,2020-07-20,downtown,0.28
424,Atlanta,2020-07-20,relative,0.36
425,Atlanta,2020-07-20,metro,0.79
426,Atlanta,2020-07-27,downtown,0.23
427,Atlanta,2020-07-27,relative,0.26
428,Atlanta,2020-07-27,metro,0.9
429,Atlanta,2020-08-03,downtown,0.33
430,Atlanta,2020-08-03,relative,0.48
431,Atlanta,2020-08-03,metro,0.68
432,Atlanta,2020-08-10,downtown,0.34
433,Atlanta,2020-08-10,relative,0.41
434,Atlanta,2020-08-10,metro,0.83
435,Atlanta,2020-08-17,downtown,0.39
436,Atlanta,2020-08-17,relative,0.53
437,Atlanta,2020-08-17,metro,0.73
438,Atlanta,2020-08-24,downtown,0.37
439,Atlanta,2020-08-24,relative,0.6
440,Atlanta,2020-08-24,metro,0.63
441,Atlanta,2020-08-31,downtown,0.24
442,Atlanta,2020-08-31,relative,0.41
443,Atlanta,2020-08-31,metro,0.57
444,Atlanta,2020-09-07,downtown,0.31
445,Atlanta,2020-09-07,relative,0.55
446,Atlanta,2020-09-07,metro,0.58
447,Atlanta,2020-09-14,downtown,0.305
448,Atlanta,2020-09-14,relative,0.675
449,Atlanta,2020-09-14,metro,0.48
450,Atlanta,2020-09-21,downtown,0.3
451,Atlanta,2020-09-21,relative,0.8
452,Atlanta,2020-09-21,metro,0.38
453,Atlanta,2020-09-28,downtown,0.31
454,Atlanta,2020-09-28,relative,0.57
455,Atlanta,2020-09-28,metro,0.53
456,Atlanta,2020-10-05,downtown,0.32
457,Atlanta,2020-10-05,relative,0.53
458,Atlanta,2020-10-05,metro,0.61
459,Atlanta,2020-10-12,downtown,0.35
460,Atlanta,2020-10-12,relative,0.44
461,Atlanta,2020-10-12,metro,0.79
462,Atlanta,2020-10-19,downtown,0.27
463,Atlanta,2020-10-19,relative,0.33
464,Atlanta,2020-10-19,metro,0.83
465,Atlanta,2020-10-26,downtown,0.32
466,Atlanta,2020-10-26,relative,0.4
467,Atlanta,2020-10-26,metro,0.81
468,Atlanta,2020-11-02,downtown,0.34
469,Atlanta,2020-11-02,relative,0.35
470,Atlanta,2020-11-02,metro,0.97
471,Atlanta,2020-11-09,downtown,0.31
472,Atlanta,2020-11-09,relative,0.3
473,Atlanta,2020-11-09,metro,1.04
474,Atlanta,2020-11-16,downtown,0.35
475,Atlanta,2020-11-16,relative,0.34
476,Atlanta,2020-11-16,metro,1.03
